question,answers
what percentage does the production of animal food produce to Green House Emission.,57%
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
A large diary cows can eat up of?,150 pounds
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
give other examples of ruminats,"Goats, sheep, camels, and antelope "
give other examples of ruminats,"Goats, sheep, camels, and antelope "
explain how over grazing destroy soil nutrients.,"Overgrazing by livestock can lead to soil compaction, erosion, and loss of soil organic matter, which are all detrimental to soil fertility."
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
"Besides cow dung and urine, what does farmyard manure contain.",Animal bedding
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
what are the negative consequences of fertilizers for the environment.,pollution of waterways and harm to aquatic ecosystems.
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
why do farmers to use chemicals,"to control weeds and insects and to produce increased amounts of vegetables, milk, or eggs"
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
What are barns used for?,to store modern farm machinery and house farm animals
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
"the product of consistent modification by scientists are called?
",GMOs 
what important role does agriculture play?,feeding the growing population.
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
Does most of the money I pay for food go back to the farmer?,Not necessarily
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
Explain how agronomic practices can be used to impact on the extent of damage done by crop pests? ,"Crop rotation: Rotating crops helps disrupt the life cycles of pests and reduces the buildup of pest populations. By alternating different crops in the same field, pests that are specific to a particular crop are less likely to persist and cause significant damage.

Proper planting time and spacing: Planting crops at the appropriate time and with the correct spacing can promote healthy plant growth and vigor. Well-spaced plants have better air circulation, reducing the favorable conditions for pests and diseases to spread. Timely planting can also help avoid critical pest infestation periods.

Field sanitation: Proper field sanitation involves removing crop residues, weeds, and other debris from the field. These residues can harbor pests and diseases, providing a breeding ground for future infestations. Removing crop debris and maintaining clean field conditions can help reduce pest populations.

Use of resistant or tolerant varieties: Planting crop varieties that have natural resistance or tolerance to specific pests can greatly reduce pest damage. Resistant varieties have built-in genetic traits that make them less susceptible to pest attacks. By choosing and planting resistant or tolerant varieties, farmers can minimize the impact of pests on their crops."
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
name the diet in which diary cows should be fed on.,diet high in protein and calcium
how is farmyard manure derived?,"Farmyard manure is typically derived from animal waste, such as cow dung, and contains a mix of organic matter, nutrients, and microorganisms. It provides a slow-release source of nutrients and helps improve soil structure and moisture retention."
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
what is RFID used for?,is a technology that has been used to identify and track livestock animals
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
what percentage does the production of animal food produce to Green House Emission.,57%
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
name other ways a farmer can use to control CBSD.,Planting resistant varieties
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
name the diet in which diary cows should be fed on.,diet high in protein and calcium
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
A large diary cows can eat up of?,150 pounds
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
what percentage does the production of animal food produce to Green House Emission.,57%
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
Do farmers waste water?,"Water is necessary to grow plants that provide food, fiber and shelter for the world"
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
how can you minimize the effects of anti-nutrients in beans.,"it is recommended to soak, sprout, or ferment the beans before milling them. These processes can help to break down the anti-nutrients and make the nutrients more bioavailable."
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
"which pest feed on the sap of the bean plant, causing stunting and distortion of the leaves",Bean aphids (Aphis fabae)
List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
why should we have more livestock on the grazzing ground?,their movement and their waste and their relentless chomping stimulate grasses to grow
how else can you achieve pest control.,culling
What is the best fertilizers for beans? farmers are in need  of rhizobium  is it possible for me to get them and sell to my farmers?,"it is possible for farmers to obtain rhizobia inoculants for their beans. Inoculants are available in various forms, including powders and liquids, and they can be applied to the seed before planting or directly to the soil. Inoculation of beans with rhizobia has been shown to increase yields and improve plant health."
"which pest feeds on the leaves and stems of cassava, causing defoliation and reduced yield",Cassava beetle
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
what are the three phases of  Food Supply Continuum,"pre?harvest, harvest and postharvest"
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
what is Food Supply Continuum,The process of getting food from the farm to the table
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
give other examples of ruminats,"Goats, sheep, camels, and antelope "
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
what percentage does the production of animal food produce to Green House Emission.,57%
how else can you achieve pest control.,culling
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
"the product of consistent modification by scientists are called?
",GMOs 
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
name other chemicals used for seed dressing.,"imidacloprid, clothianidin, and thiamethoxam, which are neonicotinoid insecticides."
What is the best fertilizers for beans? farmers are in need  of rhizobium  is it possible for me to get them and sell to my farmers?,"it is possible for farmers to obtain rhizobia inoculants for their beans. Inoculants are available in various forms, including powders and liquids, and they can be applied to the seed before planting or directly to the soil. Inoculation of beans with rhizobia has been shown to increase yields and improve plant health."
What are barns used for?,to store modern farm machinery and house farm animals
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
"the product of consistent modification by scientists are called?
",GMOs 
what is animal welfare?,refers to the conditions in which an animal is raised
what is a major source of greenhouse gas emissions,Animal husbandry
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
what is a major source of greenhouse gas emissions,Animal husbandry
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
what is Food Supply Continuum,The process of getting food from the farm to the table
what percentage does the production of animal food produce to Green House Emission.,57%
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
give other examples of ruminats,"Goats, sheep, camels, and antelope "
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
what are the negative consequences of fertilizers for the environment.,pollution of waterways and harm to aquatic ecosystems.
what is animal welfare?,refers to the conditions in which an animal is raised
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
how is farmyard manure derived?,"Farmyard manure is typically derived from animal waste, such as cow dung, and contains a mix of organic matter, nutrients, and microorganisms. It provides a slow-release source of nutrients and helps improve soil structure and moisture retention."
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
what are the negative consequences of fertilizers for the environment.,pollution of waterways and harm to aquatic ecosystems.
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
give other examples of ruminats,"Goats, sheep, camels, and antelope "
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
"the product of consistent modification by scientists are called?
",GMOs 
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
"the product of consistent modification by scientists are called?
",GMOs 
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
give other examples of ruminats,"Goats, sheep, camels, and antelope "
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm"
what is a major source of greenhouse gas emissions,Animal husbandry
explain how over grazing destroy soil nutrients.,"Overgrazing by livestock can lead to soil compaction, erosion, and loss of soil organic matter, which are all detrimental to soil fertility."
what is a major source of greenhouse gas emissions,Animal husbandry
what percentage does the production of animal food produce to Green House Emission.,57%
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
why do farmers plant cover crops?,"Cover crops manage soil erosion, soil fertility, soil quality, water, weeds, pests, diseases, biodiversity and wildlife in an agroecosystem"
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm"
what percentage does the production of animal food produce to Green House Emission.,57%
what is RFID used for?,is a technology that has been used to identify and track livestock animals
What are barns used for?,to store modern farm machinery and house farm animals
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
what is a major source of greenhouse gas emissions,Animal husbandry
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
what percentage does the production of animal food produce to Green House Emission.,57%
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm"
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
how is farmyard manure derived?,"Farmyard manure is typically derived from animal waste, such as cow dung, and contains a mix of organic matter, nutrients, and microorganisms. It provides a slow-release source of nutrients and helps improve soil structure and moisture retention."
give other examples of ruminats,"Goats, sheep, camels, and antelope "
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
Are beef animals consuming grain that could be used to feed humans?,lifetime 
what is a fish farm,Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis"
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
what is Food Supply Continuum,The process of getting food from the farm to the table
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
What are barns used for?,to store modern farm machinery and house farm animals
how else can you achieve pest control.,culling
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
"the product of consistent modification by scientists are called?
",GMOs 
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f
"the product of consistent modification by scientists are called?
",GMOs 
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
do plants have naturally occurring B12?,no 
